IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,AGO,Angola,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EUR,Europe,Country,ARM,Armenia,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,BEN,Benin,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,BWA,Botswana,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,BDI,Burundi,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,CMR,Cameroon,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,COG,Congo,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,GHA,Ghana,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AMR,Americas,Country,HND,Honduras,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,40,,,,,,40,,,EN,2021-06-14T04:00:00.000Z
