date,country,country_name,dataType,fcs_people,fcs_prevalence,rcsi_people,rcsi_prevalence
15/06/21,ARM,Armenia,PREDICTION,386792,0.131036999,,
15/06/21,BGD,Bangladesh,PREDICTION,34932681,0.216494412,,
15/06/21,BEN,Benin,SURVEY,4326459,0.376703639,4396218,0.382777558
15/06/21,BTN,Bhutan,PREDICTION,210626,0.279199303,,
15/06/21,BOL,Bolivia,PREDICTION,1868544,0.164583866,,
15/06/21,BWA,Botswana,PREDICTION,327868,0.145452384,,
15/06/21,BFA,Burkina Faso,SURVEY,11895696,0.602267156,3602242,0.182377894
15/06/21,BDI,Burundi,PREDICTION,4080123,0.365099361,3830716,0.342781814
15/06/21,KHM,Cambodia,PREDICTION,3706220,0.228077926,,
15/06/21,CMR,Cameroon,SURVEY,6482486,0.257075899,6997061,0.277482417
15/06/21,CPV,Cape Verde,PREDICTION,83284,0.153161189,,
15/06/21,CAF,Central African Republic,MIXED,2414459,0.517416077,2595041,0.556114666
15/06/21,TCD,Chad,SURVEY,1854746,0.116307772,2589237,0.162366367
15/06/21,COL,Colombia,SURVEY,10361045,0.208687195,26046874,0.524623633
15/06/21,COM,Comoros,PREDICTION,263631,0.316741598,,
15/06/21,COG,Congo,MIXED,547234,0.102659583,1172300,0.388876597
15/06/21,CIV,Côte d'Ivoire,SURVEY,3689274,0.147163485,5842443,0.233052411
15/06/21,COD,Democratic Republic of the Congo,SURVEY,40822656,0.385406651,52571722,0.496329571
15/06/21,DJI,Djibouti,PREDICTION,374275,0.390308889,,
15/06/21,DOM,Dominican Republic,PREDICTION,2088632,0.196537138,4332761,0.40770631
15/06/21,ECU,Ecuador,PREDICTION,1542074,0.090262338,,
15/06/21,SLV,El Salvador,SURVEY,859500,0.133862993,858035,0.133634812
15/06/21,ETH,Ethiopia,SURVEY,11787297,0.116584205,16583607,0.164022864
15/06/21,GMB,Gambia,PREDICTION,493255,0.216330329,,
15/06/21,GHA,Ghana,PREDICTION,5673572,0.190598691,,
15/06/21,GTM,Guatemala,SURVEY,1678825,0.097335561,3507545,0.203361784
15/06/21,GNB,Guinea-Bissau,PREDICTION,710704,0.379181672,613921,0.32754507
15/06/21,GIN,Guinea,SURVEY,5985464,0.482142108,2770537,0.223172737
15/06/21,HND,Honduras,SURVEY,1174634,0.12251694,3323823,0.346682083
15/06/21,IND,India,PREDICTION,238541557,0.176355538,,
15/06/21,IRN,Iran  (Islamic Republic of),PREDICTION,8411073,0.102824516,,
15/06/21,IRQ,Iraq,SURVEY,1869646,0.04864613,2924623,0.076095481
15/06/21,JOR,Jordan,PREDICTION,1606584,0.161368243,,
15/06/21,KEN,Kenya,SURVEY,7351678,0.143048218,14558059,0.283269248
15/06/21,KGZ,Kyrgyzstan,PREDICTION,1521320,0.230796737,,
15/06/21,LAO,Lao People's Democratic Republic,PREDICTION,1257961,0.178143469,,
15/06/21,LBN,Lebanon,PREDICTION,1492802,0.217961537,,
15/06/21,LSO,Lesotho,PREDICTION,1054145,0.500037711,487168,0.231090003
15/06/21,LBR,Liberia,PREDICTION,1634383,0.357766284,,
15/06/21,LBY,Libya,PREDICTION,618229,0.09256911,,
15/06/21,MDG,Madagascar,SURVEY,6873327,0.261827966,11275999,0.429540431
15/06/21,MWI,Malawi,SURVEY,2665004,0.146886413,5082692,0.280141555
15/06/21,MLI,Mali,SURVEY,9409776,0.493234662,4549075,0.238450041
15/06/21,MDA,"Moldova, Republic of",PREDICTION,248906,0.070195754,,
15/06/21,MNG,Mongolia,PREDICTION,489796,0.154499739,,
15/06/21,MAR,Morocco,PREDICTION,4462710,0.123863909,,
15/06/21,MOZ,Mozambique,SURVEY,8694527,0.294770097,8884085,0.301196695
15/06/21,NAM,Namibia,SURVEY,527135,0.229189828,849847,0.369499832
15/06/21,NPL,Nepal,PREDICTION,7013985,0.249715794,,
15/06/21,NIC,Nicaragua,SURVEY,272602,0.044854281,1353606,0.222724059
15/06/21,NER,Niger,SURVEY,10495782,0.46766497,2338854,0.104213299
15/06/21,NGA,Nigeria,MIXED,51615818,0.254567954,79274270,0.390978764
15/06/21,PAK,Pakistan,PREDICTION,58773848,0.276954221,54258700,0.255677933
15/06/21,PER,Peru,PREDICTION,2837601,0.088704808,,
15/06/21,RWA,Rwanda,PREDICTION,2538117,0.206318451,,
15/06/21,STP,Sao Tome and Principe,PREDICTION,48515,0.229898402,,
15/06/21,SLE,Sierra Leone,SURVEY,3594725,0.437223947,3750986,0.456229866
15/06/21,SLB,Solomon Islands,PREDICTION,146796,0.224851002,,
15/06/21,SOM,Somalia,SURVEY,7556604,0.613515338,3501647,0.284296245
15/06/21,LKA,Sri Lanka,PREDICTION,3140278,0.14491362,,
15/06/21,SWZ,Eswatini,PREDICTION,340118,0.299349317,425887,0.374837505
15/06/21,SYR,Syrian Arab Republic,SURVEY,8311334,0.462581031,8492228,0.472648985
15/06/21,TJK,Tajikistan,PREDICTION,3017059,0.331514453,,
15/06/21,TLS,Timor-Leste,PREDICTION,244135,0.192539741,,
15/06/21,TGO,Togo,PREDICTION,2459073,0.311705335,,
15/06/21,TUN,Tunisia,PREDICTION,1353358,0.117019843,,
15/06/21,UGA,Uganda,PREDICTION,14563966,0.340891743,,
15/06/21,TZA,United Republic of Tanzania,SURVEY,5693345,0.101092214,9578932,0.170085488
15/06/21,UZB,Uzbekistan,PREDICTION,4477025,0.135851021,,
15/06/21,VNM,Viet Nam,PREDICTION,21985418,0.230116461,,
15/06/21,YEM,Yemen,SURVEY,11519031,0.383434585,14739216,0.490625035
15/06/21,ZMB,Zambia,SURVEY,3090162,0.17808868,4879128,0.281188321
15/06/21,ZWE,Zimbabwe,SURVEY,5123265,0.309394888,8410406,0.50790592
15/06/21,IDN,Indonesia,PREDICTION,27350280,0.102181607,,
15/06/21,MMR,Myanmar,PREDICTION,12355916,0.230055576,,
15/06/21,PNG,Papua New Guinea,PREDICTION,1879103,0.218339971,,
15/06/21,PHL,Philippines,PREDICTION,15227962,0.142781882,,
15/06/21,FJI,Fiji,PREDICTION,70420,0.07970725,,
15/06/21,VUT,Vanuatu,PREDICTION,48277,0.164948066,,
15/06/21,SEN,Senegal,PREDICTION,2625323,0.16558997,,
15/06/21,PSE,State of Palestine,PREDICTION,1008446,0.220710615,,
15/06/21,EGY,Egypt,PREDICTION,11653065,0.118397065,,
15/06/21,SSD,South Sudan,PREDICTION,6048320,0.551053529,5008279,0.456296925
15/06/21,CUB,Cuba,PREDICTION,1451231,0.12799552,,
16/06/21,AFG,Afghanistan,SURVEY,33736631,0.834820071,4703482,0.116388659
16/06/21,DZA,Algeria,PREDICTION,4219754,0.099926855,,
16/06/21,AGO,Angola,SURVEY,7237862,0.23252178,14894368,0.478492804
16/06/21,ARM,Armenia,PREDICTION,386792,0.131036999,,
16/06/21,BGD,Bangladesh,PREDICTION,34932681,0.216494412,,
16/06/21,BEN,Benin,SURVEY,4397311,0.382872704,4426028,0.385373083
16/06/21,BTN,Bhutan,PREDICTION,210626,0.279199303,,
16/06/21,BOL,Bolivia,PREDICTION,1868654,0.164593555,,
16/06/21,BWA,Botswana,PREDICTION,327868,0.145452384,,
16/06/21,BFA,Burkina Faso,SURVEY,11940594,0.604540297,3684876,0.186561572
16/06/21,BDI,Burundi,PREDICTION,4080123,0.365099361,3830716,0.342781814
16/06/21,KHM,Cambodia,PREDICTION,3706220,0.228077926,,
16/06/21,CMR,Cameroon,SURVEY,6401256,0.253854566,6942715,0.275327218
16/06/21,CPV,Cape Verde,PREDICTION,83284,0.153161189,,
16/06/21,CAF,Central African Republic,MIXED,2414330,0.517388433,2599233,0.557013007
16/06/21,TCD,Chad,SURVEY,1841287,0.11546379,2593524,0.162635198
16/06/21,COL,Colombia,SURVEY,10267316,0.20679935,25872437,0.521110206
16/06/21,COM,Comoros,PREDICTION,263631,0.316741598,,
16/06/21,COG,Congo,MIXED,544113,0.10207409,1183741,0.392671817
16/06/21,CIV,Côte d'Ivoire,SURVEY,3708111,0.147914884,5866866,0.234026651
16/06/21,COD,Democratic Republic of the Congo,SURVEY,40483937,0.382208806,52954656,0.49994485
16/06/21,DJI,Djibouti,PREDICTION,374275,0.390308889,,
16/06/21,DOM,Dominican Republic,PREDICTION,2088725,0.196545889,4331734,0.40760967
16/06/21,ECU,Ecuador,PREDICTION,1542074,0.090262338,,
16/06/21,SLV,El Salvador,SURVEY,859232,0.133821241,858910,0.133771105
16/06/21,ETH,Ethiopia,SURVEY,12507197,0.123704492,16964794,0.167793018
16/06/21,GMB,Gambia,PREDICTION,493255,0.216330329,,
16/06/21,GHA,Ghana,PREDICTION,5671854,0.190540976,,
16/06/21,GTM,Guatemala,SURVEY,1686568,0.097784482,3515606,0.203829147
16/06/21,GNB,Guinea-Bissau,PREDICTION,710704,0.379181672,615154,0.328202912
16/06/21,GIN,Guinea,SURVEY,6030248,0.485749556,2782933,0.224171289
16/06/21,HND,Honduras,SURVEY,1177101,0.122774251,3315069,0.345769014
16/06/21,IND,India,PREDICTION,238544097,0.176357416,,
16/06/21,IRN,Iran  (Islamic Republic of),PREDICTION,8409636,0.102806949,,
16/06/21,IRQ,Iraq,SURVEY,1824876,0.047481267,2843898,0.073995104
16/06/21,JOR,Jordan,PREDICTION,1606584,0.161368243,,
16/06/21,KEN,Kenya,SURVEY,7339737,0.14281586,14532191,0.282765911
16/06/21,KGZ,Kyrgyzstan,PREDICTION,1522529,0.230980152,,
16/06/21,LAO,Lao People's Democratic Republic,PREDICTION,1257961,0.178143469,,
16/06/21,LBN,Lebanon,PREDICTION,1492337,0.217893643,,
16/06/21,LSO,Lesotho,PREDICTION,1054145,0.500037711,487088,0.231052055
16/06/21,LBR,Liberia,PREDICTION,1634013,0.357685291,,
16/06/21,LBY,Libya,PREDICTION,618229,0.09256911,,
16/06/21,MDG,Madagascar,SURVEY,6845967,0.260785728,11296073,0.430305103
16/06/21,MWI,Malawi,SURVEY,2638777,0.145440852,5059303,0.278852429
16/06/21,MLI,Mali,SURVEY,9382213,0.491789885,4588071,0.240494114
16/06/21,MDA,"Moldova, Republic of",PREDICTION,248906,0.070195754,,
16/06/21,MNG,Mongolia,PREDICTION,489842,0.154514249,,
16/06/21,MAR,Morocco,PREDICTION,4462710,0.123863909,,
16/06/21,MOZ,Mozambique,SURVEY,8726053,0.295838922,8902249,0.301812486
16/06/21,NAM,Namibia,SURVEY,528420,0.229748525,847922,0.368662822
16/06/21,NPL,Nepal,PREDICTION,7013985,0.249715794,,
16/06/21,NIC,Nicaragua,SURVEY,271831,0.044727424,1357749,0.223405768
16/06/21,NER,Niger,SURVEY,10502320,0.467956286,2377676,0.105943103
16/06/21,NGA,Nigeria,MIXED,51451398,0.253757042,79195226,0.390588921
16/06/21,PAK,Pakistan,PREDICTION,58873998,0.277426148,54307453,0.255907667
16/06/21,PER,Peru,PREDICTION,2837601,0.088704808,,
16/06/21,RWA,Rwanda,PREDICTION,2538117,0.206318451,,
16/06/21,STP,Sao Tome and Principe,PREDICTION,48515,0.229898402,,
16/06/21,SLE,Sierra Leone,SURVEY,3590590,0.43672101,3725410,0.453119074
16/06/21,SLB,Solomon Islands,PREDICTION,146796,0.224851002,,
16/06/21,SOM,Somalia,SURVEY,7552492,0.613181488,3460647,0.280967484
16/06/21,LKA,Sri Lanka,PREDICTION,3146131,0.145183717,,
16/06/21,SWZ,Eswatini,PREDICTION,340024,0.299266585,425887,0.374837505
16/06/21,SYR,Syrian Arab Republic,SURVEY,8508782,0.473570325,8639628,0.480852776
16/06/21,TJK,Tajikistan,PREDICTION,3017059,0.331514453,,
16/06/21,TLS,Timor-Leste,PREDICTION,244135,0.192539741,,
16/06/21,TGO,Togo,PREDICTION,2459363,0.311742095,,
16/06/21,TUN,Tunisia,PREDICTION,1353358,0.117019843,,
16/06/21,UGA,Uganda,PREDICTION,14582160,0.341317601,,
16/06/21,TZA,United Republic of Tanzania,SURVEY,5841479,0.103722514,9511426,0.16888685
16/06/21,UZB,Uzbekistan,PREDICTION,4477025,0.135851021,,
16/06/21,VNM,Viet Nam,PREDICTION,21985833,0.230120804,,
16/06/21,YEM,Yemen,SURVEY,11638085,0.387397529,14689069,0.488955789
16/06/21,ZMB,Zambia,SURVEY,3137472,0.180815195,4892698,0.281970371
16/06/21,ZWE,Zimbabwe,SURVEY,5168850,0.312147774,8412750,0.508047474
16/06/21,IDN,Indonesia,PREDICTION,26855383,0.100332655,,
16/06/21,MMR,Myanmar,PREDICTION,12358428,0.230102347,,
16/06/21,PNG,Papua New Guinea,PREDICTION,1879103,0.218339971,,
16/06/21,PHL,Philippines,PREDICTION,15234104,0.142839471,,
16/06/21,FJI,Fiji,PREDICTION,70420,0.07970725,,
16/06/21,VUT,Vanuatu,PREDICTION,48277,0.164948066,,
16/06/21,SEN,Senegal,PREDICTION,2628474,0.165788717,,
16/06/21,PSE,State of Palestine,PREDICTION,1008446,0.220710615,,
16/06/21,EGY,Egypt,PREDICTION,11653065,0.118397065,,
16/06/21,SSD,South Sudan,PREDICTION,6048875,0.551104094,5008279,0.456296925
16/06/21,CUB,Cuba,PREDICTION,1453031,0.128154276,,
17/06/21,AFG,Afghanistan,SURVEY,34065119,0.842948593,4780570,0.118296214
17/06/21,DZA,Algeria,PREDICTION,4219754,0.099926855,,
17/06/21,AGO,Angola,SURVEY,7221884,0.232008484,14865503,0.477565494
17/06/21,ARM,Armenia,PREDICTION,386792,0.131036999,,
17/06/21,BGD,Bangladesh,PREDICTION,34910844,0.216359078,,
17/06/21,BEN,Benin,SURVEY,4423207,0.385127462,4380270,0.381388932
17/06/21,BTN,Bhutan,PREDICTION,210626,0.279199303,,
17/06/21,BOL,Bolivia,PREDICTION,1868654,0.164593555,,
17/06/21,BWA,Botswana,PREDICTION,327868,0.145452384,,
17/06/21,BFA,Burkina Faso,SURVEY,12003837,0.607742227,3691708,0.186907473
17/06/21,BDI,Burundi,PREDICTION,4080123,0.365099361,3830716,0.342781814
